1926	2971992	1506889	1465103
1936	2968420	1520454	1447966
1946	2955107	1494877	1460230
1951	2960593	1506597	1453996
1961	2818341	1416549	1401792
1966	2884002	1449032	1434970
1971	2978248	1495760	1482488
1979	3368217	1693272	1674945
1981	3443405	1729354	1714051
1986	3540643	1769690	1770953
1991	3525719	1753418	1772301
1996	3626087	1800232	1825855
2002	3917203	1946164	1971039
2006	4239848	2121171	2118677
2011	4588252	2272699	2315553
